ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Bagging Classifier,Normalized Data,0.987654,0.98281,0.992,0.974359,0.993081
Bagging Classifier,SMOTE + StandardScaler,0.987654,0.98281,0.992,0.974359,0.991784
Bagging Classifier,SMOTE + GridSearchCV,0.987654,0.98281,0.992,0.974359,0.991784
Bagging Classifier,NearMiss,0.987654,0.98281,0.992,0.974359,0.994811
Bagging Classifier,SMOTE + Tomek,0.987654,0.98281,0.992,0.974359,0.994378
Bagging Classifier,TomekLinks,0.981481,0.974447,0.988,0.9625,0.995027
Bagging Classifier,Preprocessed Data,0.975309,0.966229,0.984,0.95122,0.992432
Bagging Classifier,RandomUnderSampler,0.975309,0.966229,0.984,0.95122,0.994162
Bagging Classifier,SelectKBest,0.975309,0.96562,0.974486,0.957473,0.992432
Bagging Classifier,PCA,0.851852,0.785714,0.780324,0.791676,0.924973
