ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
AdaBoost,Preprocessed Data,0.981481,0.973976,0.978486,0.969652,0.979027
AdaBoost,Normalized Data,0.981481,0.973976,0.978486,0.969652,0.998162
AdaBoost,SelectKBest,0.981481,0.973976,0.978486,0.969652,0.979027
AdaBoost,RFECV,0.981481,0.973976,0.978486,0.969652,0.979027
AdaBoost,PCA,0.981481,0.973976,0.978486,0.969652,0.996541
AdaBoost,SMOTE + StandardScaler,0.981481,0.973976,0.978486,0.969652,0.992649
AdaBoost,SMOTE + GridSearchCV,0.981481,0.973976,0.978486,0.969652,0.992649
AdaBoost,RandomUnderSampler,0.981481,0.973976,0.978486,0.969652,0.982919
AdaBoost,TomekLinks,0.981481,0.973976,0.978486,0.969652,0.99827
AdaBoost,NearMiss,0.981481,0.973976,0.978486,0.969652,0.997081
AdaBoost,SMOTE + Tomek,0.981481,0.973976,0.978486,0.969652,0.992649
