ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
CatBoost,Preprocessed Data,0.987654,0.98281,0.992,0.974359,0.994162
CatBoost,Normalized Data,0.987654,0.98281,0.992,0.974359,0.992
CatBoost,RandomUnderSampler,0.987654,0.98281,0.992,0.974359,0.997405
CatBoost,TomekLinks,0.987654,0.98281,0.992,0.974359,0.99373
CatBoost,NearMiss,0.987654,0.98281,0.992,0.974359,0.994811
CatBoost,SMOTE + Tomek,0.981481,0.974447,0.988,0.9625,0.995243
CatBoost,SelectKBest,0.981481,0.973976,0.978486,0.969652,0.992865
CatBoost,RFECV,0.981481,0.973976,0.978486,0.969652,0.985297
CatBoost,PCA,0.981481,0.973976,0.978486,0.969652,0.986162
CatBoost,SMOTE + StandardScaler,0.981481,0.973976,0.978486,0.969652,0.991568
CatBoost,SMOTE + GridSearchCV,0.981481,0.973976,0.978486,0.969652,0.991568
