ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Decision Tree,Preprocessed Data,0.981481,0.973976,0.978486,0.969652,0.991135
Decision Tree,Normalized Data,0.981481,0.973976,0.978486,0.969652,0.98973
Decision Tree,RFECV,0.981481,0.973976,0.978486,0.969652,0.989838
Decision Tree,PCA,0.981481,0.973976,0.978486,0.969652,0.990811
Decision Tree,RandomUnderSampler,0.981481,0.973976,0.978486,0.969652,0.980649
Decision Tree,SMOTE + Tomek,0.981481,0.973976,0.978486,0.969652,0.988757
Decision Tree,TomekLinks,0.975309,0.96562,0.974486,0.957473,0.987351
Decision Tree,NearMiss,0.975309,0.96562,0.974486,0.957473,0.983784
Decision Tree,SelectKBest,0.950617,0.925551,0.901405,0.957153,0.984216
Decision Tree,SMOTE + StandardScaler,0.888889,0.861538,0.918486,0.835035,0.944757
Decision Tree,SMOTE + GridSearchCV,0.888889,0.861538,0.918486,0.835035,0.944757
