ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
LightGBM,Preprocessed Data,0.987654,0.98281,0.992,0.974359,0.991243
LightGBM,Normalized Data,0.987654,0.98281,0.992,0.974359,0.995892
LightGBM,SelectKBest,0.987654,0.98281,0.992,0.974359,0.994162
LightGBM,PCA,0.987654,0.98281,0.992,0.974359,0.998919
LightGBM,TomekLinks,0.987654,0.98281,0.992,0.974359,0.993946
LightGBM,NearMiss,0.987654,0.98281,0.992,0.974359,0.995027
LightGBM,SMOTE + StandardScaler,0.981481,0.974447,0.988,0.9625,0.992649
LightGBM,SMOTE + GridSearchCV,0.981481,0.974447,0.988,0.9625,0.992649
LightGBM,SMOTE + Tomek,0.981481,0.973976,0.978486,0.969652,0.992
LightGBM,RFECV,0.975309,0.966229,0.984,0.95122,0.991568
LightGBM,RandomUnderSampler,0.975309,0.96562,0.974486,0.957473,0.989838
