ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Random Forest,Normalized Data,0.987654,0.98281,0.992,0.974359,0.991784
Random Forest,SMOTE + StandardScaler,0.987654,0.98281,0.992,0.974359,0.996108
Random Forest,SMOTE + GridSearchCV,0.987654,0.98281,0.992,0.974359,0.996108
Random Forest,NearMiss,0.987654,0.98281,0.992,0.974359,0.996324
Random Forest,SMOTE + Tomek,0.987654,0.98281,0.992,0.974359,0.995243
Random Forest,RandomUnderSampler,0.981481,0.974447,0.988,0.9625,0.992432
Random Forest,Preprocessed Data,0.981481,0.973976,0.978486,0.969652,0.990919
Random Forest,SelectKBest,0.981481,0.973976,0.978486,0.969652,0.990703
Random Forest,RFECV,0.981481,0.973976,0.978486,0.969652,0.989622
Random Forest,PCA,0.981481,0.973976,0.978486,0.969652,0.990054
Random Forest,TomekLinks,0.981481,0.973976,0.978486,0.969652,0.995027
