ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
SVM,SMOTE + StandardScaler,0.987654,0.98281,0.992,0.974359,0.996973
SVM,SMOTE + GridSearchCV,0.987654,0.98281,0.992,0.974359,0.996973
SVM,Preprocessed Data,0.981481,0.973976,0.978486,0.969652,0.995676
SVM,Normalized Data,0.981481,0.973976,0.978486,0.969652,0.981622
SVM,SelectKBest,0.981481,0.973976,0.978486,0.969652,0.987027
SVM,RFECV,0.981481,0.973976,0.978486,0.969652,0.988973
SVM,PCA,0.981481,0.973976,0.978486,0.969652,0.988757
SVM,TomekLinks,0.981481,0.973976,0.978486,0.969652,0.987459
SVM,NearMiss,0.981481,0.973976,0.978486,0.969652,0.988541
SVM,RandomUnderSampler,0.975309,0.96562,0.974486,0.957473,0.989838
SVM,SMOTE + Tomek,0.969136,0.957411,0.970486,0.945902,0.996324
