ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
XGBoost,Preprocessed Data,0.987654,0.98281,0.992,0.974359,0.995676
XGBoost,Normalized Data,0.987654,0.98281,0.992,0.974359,0.997838
XGBoost,TomekLinks,0.987654,0.98281,0.992,0.974359,0.997622
XGBoost,NearMiss,0.987654,0.98281,0.992,0.974359,0.993946
XGBoost,SMOTE + StandardScaler,0.981481,0.974447,0.988,0.9625,0.994811
XGBoost,SMOTE + GridSearchCV,0.981481,0.974447,0.988,0.9625,0.994811
XGBoost,SMOTE + Tomek,0.981481,0.974447,0.988,0.9625,0.994378
XGBoost,SelectKBest,0.981481,0.973976,0.978486,0.969652,0.989405
XGBoost,RFECV,0.981481,0.973976,0.978486,0.969652,0.989622
XGBoost,PCA,0.981481,0.973976,0.978486,0.969652,0.982919
XGBoost,RandomUnderSampler,0.975309,0.966229,0.984,0.95122,0.989622
