iter	Passed	Remaining
0	3	1919
1	8	2188
2	12	2076
3	15	1960
4	19	1887
5	22	1837
6	27	1913
7	30	1865
8	33	1834
9	36	1806
10	42	1901
11	45	1854
12	48	1824
13	51	1800
14	55	1793
15	59	1811
16	63	1799
17	66	1782
18	69	1770
19	74	1798
20	78	1782
21	81	1765
22	84	1755
23	89	1770
24	93	1768
25	96	1757
26	99	1745
27	103	1737
28	107	1746
29	110	1734
30	114	1728
31	117	1725
32	123	1742
33	126	1732
34	130	1727
35	133	1722
36	139	1744
37	142	1736
38	146	1729
39	149	1720
40	154	1734
41	158	1725
42	161	1718
43	164	1709
44	169	1718
45	173	1708
46	176	1703
47	179	1694
48	183	1687
49	188	1697
50	192	1692
51	195	1684
52	198	1677
53	203	1682
54	207	1677
55	210	1669
56	214	1663
57	219	1669
58	222	1664
59	225	1656
60	229	1648
61	233	1652
62	237	1650
63	241	1642
64	244	1634
65	248	1637
66	252	1632
67	256	1628
68	259	1620
69	263	1617
70	267	1619
71	271	1615
72	275	1608
73	278	1601
74	283	1608
75	287	1602
76	290	1596
77	293	1589
78	299	1593
79	302	1587
80	305	1580
81	308	1573
82	313	1574
83	316	1569
84	319	1562
85	323	1556
86	326	1549
87	332	1554
88	335	1549
89	338	1543
90	341	1537
91	347	1540
92	350	1534
93	353	1528
94	357	1522
95	362	1525
96	365	1519
97	368	1513
98	371	1506
99	378	1514
100	383	1515
101	388	1514
102	393	1515
103	396	1511
104	400	1504
105	403	1500
106	407	1496
107	411	1494
108	415	1488
109	418	1482
110	421	1476
111	426	1477
112	430	1472
113	433	1467
114	436	1461
115	440	1457
116	444	1454
117	447	1449
118	452	1448
119	456	1444
120	460	1441
121	463	1436
122	467	1431
123	470	1425
124	476	1430
125	481	1429
126	485	1424
127	490	1425
128	494	1422
129	498	1417
130	501	1412
131	507	1415
132	511	1410
133	514	1404
134	517	1398
135	522	1399
136	527	1396
137	530	1390
138	533	1385
139	538	1385
140	542	1380
141	545	1375
142	548	1370
143	552	1367
144	556	1363
145	559	1357
146	563	1352
147	566	1347
148	572	1348
149	575	1343
150	579	1338
151	582	1333
152	588	1333
153	591	1328
154	595	1325
155	599	1322
156	604	1320
157	607	1315
158	610	1310
159	614	1305
160	619	1305
161	623	1300
162	626	1295
163	630	1290
164	635	1290
165	638	1285
166	642	1280
167	645	1276
168	650	1274
169	654	1269
170	657	1264
171	660	1260
172	666	1259
173	669	1255
174	673	1250
